TransactionID,Branch,City,Date,BasketValue,BasketItems
TXN100040,Kathmandu - Kupondole,Kathmandu,2025-02-18,21485.51,10
TXN100049,Kathmandu - Kupondole,Kathmandu,2025-12-20,18707.079999999998,12
TXN100061,Butwal - Traffic Chowk,Butwal,2025-11-09,17195.170000000002,13
TXN100071,Lalitpur - Pulchowk,Lalitpur,2025-12-06,18110.530000000002,18
TXN100114,Kathmandu - Kupondole,Kathmandu,2025-03-15,17472.5,14
TXN100138,Pokhara - Lakeside,Pokhara,2025-11-22,17618.54,15
TXN100162,Kathmandu - New Road,Kathmandu,2025-01-23,19192.13,14
TXN100252,Kathmandu - Kupondole,Kathmandu,2025-09-15,19500.26,17
TXN100288,Chitwan - Bharatpur,Chitwan,2025-04-03,25873.92,12
TXN100300,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-06,20155.23,11
TXN100349,Kathmandu - Kupondole,Kathmandu,2025-10-20,17810.73,14
TXN100394,Chitwan - Bharatpur,Chitwan,2025-10-06,20990.48,9
TXN100416,Lalitpur - Pulchowk,Lalitpur,2025-07-29,16976.809999999998,17
TXN100436,Chitwan - Bharatpur,Chitwan,2025-02-03,17110.370000000003,14
TXN100453,Butwal - Traffic Chowk,Butwal,2025-11-30,20121.47,15
TXN100474,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-08,17060.77,10
TXN100483,Butwal - Traffic Chowk,Butwal,2025-10-02,17004.33,12
TXN100503,Butwal - Traffic Chowk,Butwal,2025-03-24,18405.67,13
TXN100509,Kathmandu - New Road,Kathmandu,2025-10-20,16940.38,13
TXN100540,Lalitpur - Pulchowk,Lalitpur,2025-09-28,19347.8,15
TXN100561,Chitwan - Bharatpur,Chitwan,2025-06-02,17060.91,10
TXN100607,Butwal - Traffic Chowk,Butwal,2025-09-20,16981.34,15
TXN100651,Butwal - Traffic Chowk,Butwal,2025-11-18,19885.940000000002,15
TXN100690,Bhaktapur - Suryabinayak,Bhaktapur,2025-06-02,22957.309999999998,14
TXN100777,Kathmandu - New Road,Kathmandu,2025-10-25,18728.97,9
TXN100864,Pokhara - Lakeside,Pokhara,2025-07-03,18405.35,14
TXN100936,Bhaktapur - Suryabinayak,Bhaktapur,2025-03-16,17312.71,13
TXN100941,Kathmandu - New Road,Kathmandu,2025-06-20,17577.47,11
TXN100988,Kathmandu - Kupondole,Kathmandu,2025-04-11,19003.960000000003,17
TXN101022,Lalitpur - Pulchowk,Lalitpur,2025-07-28,16890.690000000002,13
TXN101035,Kathmandu - Kupondole,Kathmandu,2025-11-23,18011.92,15
TXN101039,Kathmandu - Kupondole,Kathmandu,2025-01-24,20845.170000000002,15
TXN101044,Lalitpur - Pulchowk,Lalitpur,2025-04-23,18031.82,14
TXN101045,Bhaktapur - Suryabinayak,Bhaktapur,2025-10-07,17180.56,13
TXN101086,Butwal - Traffic Chowk,Butwal,2025-01-20,19776.23,13
TXN101094,Kathmandu - New Road,Kathmandu,2025-08-22,17092.899999999998,13
