Stage,Column,MissingCount,MissingPercent
Raw,TransactionID,0,0.0
Raw,Date,0,0.0
Raw,CustomerID,0,0.0
Raw,CustomerName,568,3.02
Raw,Branch,0,0.0
Raw,ProductCategory,282,1.5
Raw,ProductName,0,0.0
Raw,Quantity,0,0.0
Raw,UnitPrice,371,1.97
Raw,TotalAmount,0,0.0
Raw,PaymentMethod,468,2.49
Cleaned,TransactionID,0,0.0
Cleaned,Date,0,0.0
Cleaned,CustomerID,0,0.0
Cleaned,CustomerName,0,0.0
Cleaned,Branch,0,0.0
Cleaned,ProductCategory,0,0.0
Cleaned,ProductName,0,0.0
Cleaned,Quantity,0,0.0
Cleaned,UnitPrice,0,0.0
Cleaned,TotalAmount,0,0.0
Cleaned,PaymentMethod,0,0.0
Cleaned,CustomerNameWasMissing,0,0.0
Cleaned,ProductCategoryWasMissing,0,0.0
Cleaned,UnitPriceWasMissing,0,0.0
Cleaned,PaymentMethodWasMissing,0,0.0
Cleaned,Year,0,0.0
Cleaned,Month,0,0.0
Cleaned,MonthName,0,0.0
Cleaned,YearMonth,0,0.0
Cleaned,DayOfWeek,0,0.0
Cleaned,DayNumber,0,0.0
Cleaned,IsWeekend,0,0.0
Cleaned,City,0,0.0
Cleaned,CalculatedTotal,0,0.0
Cleaned,TotalDifference,0,0.0
