ProductName,QuantitySold,Revenue
Wall Clock,1215,2459453.52
Dove Soap,1194,450788.55
Coca-Cola 1.5L,1183,333597.45
Sliced Bread,1174,232262.07
Extension Board,1167,2155259.21
Paneer 250g,1163,265362.45
Sanitary Pads Pack,1163,417913.93
Mustard Oil 1L,1157,595810.58
LED Bulb 9W,1150,760378.26
DDC Milk 1L,1146,256849.14
Steel Lunch Box,1139,741572.03
Chocolate Cake Slice,1138,226675.78
Head & Shoulders Shampoo,1131,415078.73
Socks (3-pair pack),1130,1855597.09
Winter Jacket,1127,1842626.06
Kids Frock,1124,1928877.2
Basmati Rice 5kg,1119,592193.91
Tea Leaves (Ilam) 250g,1118,316094.7
Yogurt (Dahi) 500g,1115,260183.74
Wai Wai Noodles (pack),1114,569713.13
Harpic Toilet Cleaner,1113,745056.11
Gorkha Beer (6-pack),1112,316173.88
Vim Dishwash Bar,1104,692379.05
Wheat Flour 5kg,1101,553721.47
Butter 200g,1099,251894.61
Butter Cookies,1097,222547.17
Sugar 1kg,1078,555824.86
Cotton T-Shirt,1077,1854507.38
Red Lentil (Masoor Dal) 1kg,1075,540015.13
Power Bank 10000mAh,1073,1977709.9
Colgate Toothpaste,1069,396980.93
Formal Shirt,1069,1769927.91
Nescafe Coffee 100g,1057,292417.28
Real Juice 1L,1057,299869.21
Surf Excel 1kg,1053,680957.02
Salt 1kg,1046,535741.92
Khari Biscuit Pack,1040,205055.45
USB Cable Type-C,1031,1968887.55
Nivea Body Lotion,1024,384138.17
Bluetooth Earphones,990,1857824.44
Nimbus Cheese Slices,985,226228.67
