ProductName,QuantitySold,Revenue
Wall Clock,1215,2459453.52
Extension Board,1167,2155259.21
Power Bank 10000mAh,1073,1977709.9
USB Cable Type-C,1031,1968887.55
Kids Frock,1124,1928877.2
Bluetooth Earphones,990,1857824.44
Socks (3-pair pack),1130,1855597.09
Cotton T-Shirt,1077,1854507.38
Winter Jacket,1127,1842626.06
Formal Shirt,1069,1769927.91
LED Bulb 9W,1150,760378.26
Harpic Toilet Cleaner,1113,745056.11
Steel Lunch Box,1139,741572.03
Vim Dishwash Bar,1104,692379.05
Surf Excel 1kg,1053,680957.02
Mustard Oil 1L,1157,595810.58
Basmati Rice 5kg,1119,592193.91
Wai Wai Noodles (pack),1114,569713.13
Sugar 1kg,1078,555824.86
Wheat Flour 5kg,1101,553721.47
Red Lentil (Masoor Dal) 1kg,1075,540015.13
Salt 1kg,1046,535741.92
Dove Soap,1194,450788.55
Sanitary Pads Pack,1163,417913.93
Head & Shoulders Shampoo,1131,415078.73
Colgate Toothpaste,1069,396980.93
Nivea Body Lotion,1024,384138.17
Coca-Cola 1.5L,1183,333597.45
Gorkha Beer (6-pack),1112,316173.88
Tea Leaves (Ilam) 250g,1118,316094.7
Real Juice 1L,1057,299869.21
Nescafe Coffee 100g,1057,292417.28
Paneer 250g,1163,265362.45
Yogurt (Dahi) 500g,1115,260183.74
DDC Milk 1L,1146,256849.14
Butter 200g,1099,251894.61
Sliced Bread,1174,232262.07
Chocolate Cake Slice,1138,226675.78
Nimbus Cheese Slices,985,226228.67
Butter Cookies,1097,222547.17
Khari Biscuit Pack,1040,205055.45
