TransactionID,Branch,City,Date,BasketValue,BasketItems
TXN100000,Bhaktapur - Suryabinayak,Bhaktapur,2025-04-09,4850.71,16
TXN100001,Chitwan - Bharatpur,Chitwan,2025-05-28,1808.96,4
TXN100002,Butwal - Traffic Chowk,Butwal,2025-06-27,1672.1599999999999,4
TXN100003,Kathmandu - Kupondole,Kathmandu,2025-05-25,3034.77,9
TXN100004,Butwal - Traffic Chowk,Butwal,2025-12-06,14655.27,11
TXN100005,Bhaktapur - Suryabinayak,Bhaktapur,2025-10-01,1251.4,2
TXN100006,Pokhara - Lakeside,Pokhara,2025-04-22,233.32,2
TXN100007,Kathmandu - Kupondole,Kathmandu,2025-12-22,2019.42,3
TXN100008,Pokhara - Lakeside,Pokhara,2025-10-23,861.52,4
TXN100009,Pokhara - Lakeside,Pokhara,2025-06-06,1607.46,7
TXN100010,Butwal - Traffic Chowk,Butwal,2025-11-09,3760.2,14
TXN100011,Pokhara - Lakeside,Pokhara,2025-01-18,3944.2799999999997,9
TXN100012,Kathmandu - Kupondole,Kathmandu,2025-07-16,2878.09,9
TXN100013,Chitwan - Bharatpur,Chitwan,2025-06-17,6475.92,6
TXN100014,Bhaktapur - Suryabinayak,Bhaktapur,2025-08-17,5524.3099999999995,10
TXN100015,Pokhara - Lakeside,Pokhara,2025-06-20,4444.72,4
TXN100016,Kathmandu - New Road,Kathmandu,2025-10-20,1194.4,1
TXN100017,Biratnagar - Main Road,Biratnagar,2025-05-25,9134.59,12
TXN100018,Lalitpur - Pulchowk,Lalitpur,2025-07-07,397.64,6
TXN100019,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-02,2119.13,9
TXN100020,Bhaktapur - Suryabinayak,Bhaktapur,2025-06-12,3844.36,12
TXN100021,Butwal - Traffic Chowk,Butwal,2025-02-10,5393.6900000000005,10
TXN100022,Pokhara - Lakeside,Pokhara,2025-12-28,4370.85,12
TXN100023,Kathmandu - Kupondole,Kathmandu,2025-05-05,463.98,1
TXN100024,Lalitpur - Pulchowk,Lalitpur,2025-12-16,3275.4399999999996,12
TXN100025,Lalitpur - Pulchowk,Lalitpur,2025-11-07,2630.41,7
TXN100026,Chitwan - Bharatpur,Chitwan,2025-03-30,4284.61,14
TXN100027,Bhaktapur - Suryabinayak,Bhaktapur,2025-10-18,873.91,2
TXN100028,Biratnagar - Main Road,Biratnagar,2025-10-20,1008.2900000000001,4
TXN100029,Bhaktapur - Suryabinayak,Bhaktapur,2025-03-14,1685.1,7
TXN100030,Kathmandu - Kupondole,Kathmandu,2025-09-29,7962.9,8
TXN100031,Kathmandu - New Road,Kathmandu,2025-08-26,2493.4,4
TXN100032,Butwal - Traffic Chowk,Butwal,2025-04-07,9844.439999999999,14
TXN100033,Bhaktapur - Suryabinayak,Bhaktapur,2025-02-17,5242.24,13
TXN100034,Kathmandu - Kupondole,Kathmandu,2025-02-18,6861.74,2
TXN100035,Kathmandu - Kupondole,Kathmandu,2025-05-15,10403.480000000001,8
TXN100036,Butwal - Traffic Chowk,Butwal,2025-11-10,14482.96,6
TXN100037,Kathmandu - Kupondole,Kathmandu,2025-11-01,4089.73,9
TXN100038,Butwal - Traffic Chowk,Butwal,2025-11-16,5549.21,15
TXN100039,Pokhara - Lakeside,Pokhara,2025-03-23,3689.64,3
TXN100040,Kathmandu - Kupondole,Kathmandu,2025-02-18,21485.51,10
TXN100041,Kathmandu - New Road,Kathmandu,2025-04-24,16092.47,15
TXN100042,Butwal - Traffic Chowk,Butwal,2025-10-06,1577.12,6
TXN100043,Kathmandu - New Road,Kathmandu,2025-11-24,12583.08,7
TXN100044,Kathmandu - Kupondole,Kathmandu,2025-09-12,4454.11,10
TXN100045,Pokhara - Lakeside,Pokhara,2025-09-19,2187.54,5
TXN100046,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-28,6070.48,12
TXN100047,Kathmandu - New Road,Kathmandu,2025-09-25,3326.26,7
TXN100048,Bhaktapur - Suryabinayak,Bhaktapur,2025-10-21,3908.52,9
TXN100049,Kathmandu - Kupondole,Kathmandu,2025-12-20,18707.079999999998,12
TXN100050,Kathmandu - Kupondole,Kathmandu,2025-04-12,5761.02,8
TXN100051,Chitwan - Bharatpur,Chitwan,2025-03-06,10846.09,10
TXN100052,Biratnagar - Main Road,Biratnagar,2025-10-02,3726.08,4
TXN100053,Pokhara - Lakeside,Pokhara,2025-06-11,6685.610000000001,7
TXN100054,Butwal - Traffic Chowk,Butwal,2025-01-13,279.6,3
TXN100055,Lalitpur - Pulchowk,Lalitpur,2025-08-16,5437.46,12
TXN100056,Butwal - Traffic Chowk,Butwal,2025-11-27,6615.42,5
TXN100057,Kathmandu - Kupondole,Kathmandu,2025-08-11,3114.79,8
TXN100058,Chitwan - Bharatpur,Chitwan,2025-06-05,13719.769999999999,9
TXN100059,Biratnagar - Main Road,Biratnagar,2025-10-09,900.3299999999999,3
TXN100060,Lalitpur - Pulchowk,Lalitpur,2025-09-06,15620.699999999999,12
TXN100061,Butwal - Traffic Chowk,Butwal,2025-11-09,17195.170000000002,13
TXN100062,Kathmandu - Kupondole,Kathmandu,2025-11-24,3571.89,3
TXN100063,Chitwan - Bharatpur,Chitwan,2025-11-18,6137.97,13
TXN100064,Kathmandu - Kupondole,Kathmandu,2025-01-25,266.4,2
TXN100065,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-14,1107.01,4
TXN100066,Pokhara - Lakeside,Pokhara,2025-07-26,1199.67,3
TXN100067,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-09,11367.1,9
TXN100068,Biratnagar - Main Road,Biratnagar,2025-01-17,3092.8,6
TXN100069,Butwal - Traffic Chowk,Butwal,2025-04-26,6614.45,10
TXN100070,Bhaktapur - Suryabinayak,Bhaktapur,2025-09-26,495.32,4
TXN100071,Lalitpur - Pulchowk,Lalitpur,2025-12-06,18110.530000000002,18
TXN100072,Lalitpur - Pulchowk,Lalitpur,2025-03-15,2724.89,9
TXN100073,Kathmandu - Kupondole,Kathmandu,2025-11-18,1946.44,8
TXN100074,Chitwan - Bharatpur,Chitwan,2025-05-06,1698.32,6
TXN100075,Kathmandu - Kupondole,Kathmandu,2025-11-15,5208.16,16
TXN100076,Lalitpur - Pulchowk,Lalitpur,2025-11-14,10816.76,6
TXN100077,Butwal - Traffic Chowk,Butwal,2025-12-04,3800.2,4
TXN100078,Kathmandu - Kupondole,Kathmandu,2025-02-25,4799.56,6
TXN100079,Bhaktapur - Suryabinayak,Bhaktapur,2025-10-17,674.16,1
TXN100080,Kathmandu - New Road,Kathmandu,2025-09-07,1646.36,4
TXN100081,Kathmandu - Kupondole,Kathmandu,2025-07-03,3465.02,10
TXN100082,Bhaktapur - Suryabinayak,Bhaktapur,2025-02-13,11942.7,7
TXN100083,Bhaktapur - Suryabinayak,Bhaktapur,2025-12-16,5935.709999999999,10
TXN100084,Butwal - Traffic Chowk,Butwal,2025-11-10,4139.66,10
TXN100085,Kathmandu - Kupondole,Kathmandu,2025-09-10,1178.4099999999999,3
TXN100086,Kathmandu - New Road,Kathmandu,2025-11-25,1914.94,2
TXN100087,Kathmandu - New Road,Kathmandu,2025-04-05,5589.36,10
TXN100088,Pokhara - Lakeside,Pokhara,2025-11-17,1852.68,6
TXN100089,Pokhara - Lakeside,Pokhara,2025-05-22,2042.4,4
TXN100090,Lalitpur - Pulchowk,Lalitpur,2025-07-12,767.04,4
TXN100091,Kathmandu - Kupondole,Kathmandu,2025-09-25,1733.98,4
TXN100092,Kathmandu - Kupondole,Kathmandu,2025-11-09,9572.98,13
TXN100093,Butwal - Traffic Chowk,Butwal,2025-10-19,1981.28,2
TXN100094,Butwal - Traffic Chowk,Butwal,2025-09-03,5578.36,12
TXN100095,Kathmandu - New Road,Kathmandu,2025-05-02,8022.26,19
TXN100096,Biratnagar - Main Road,Biratnagar,2025-11-19,16344.95,13
TXN100097,Pokhara - Lakeside,Pokhara,2025-06-22,6325.74,5
TXN100098,Pokhara - Lakeside,Pokhara,2025-01-25,5220.01,14
TXN100099,Kathmandu - Kupondole,Kathmandu,2025-05-17,746.93,1
TXN100100,Kathmandu - New Road,Kathmandu,2025-07-25,2749.88,3
TXN100101,Kathmandu - New Road,Kathmandu,2025-05-06,7613.09,5
TXN100102,Bhaktapur - Suryabinayak,Bhaktapur,2025-06-24,11711.830000000002,14
TXN100103,Pokhara - Lakeside,Pokhara,2025-11-21,3813.4,12
TXN100104,Butwal - Traffic Chowk,Butwal,2025-04-16,2195.83,8
TXN100105,Bhaktapur - Suryabinayak,Bhaktapur,2025-06-30,7032.25,10
TXN100106,Kathmandu - Kupondole,Kathmandu,2025-10-14,2046.8600000000001,8
TXN100107,Lalitpur - Pulchowk,Lalitpur,2025-12-03,9962.59,4
TXN100108,Kathmandu - New Road,Kathmandu,2025-11-15,3568.56,11
TXN100109,Kathmandu - New Road,Kathmandu,2025-05-10,6999.450000000001,8
TXN100110,Kathmandu - Kupondole,Kathmandu,2025-10-21,9409.1,4
TXN100111,Pokhara - Lakeside,Pokhara,2025-05-15,3306.16,10
TXN100112,Bhaktapur - Suryabinayak,Bhaktapur,2025-10-23,9781.6,8
TXN100113,Butwal - Traffic Chowk,Butwal,2025-02-09,10509.140000000001,7
TXN100114,Kathmandu - Kupondole,Kathmandu,2025-03-15,17472.5,14
TXN100115,Butwal - Traffic Chowk,Butwal,2025-08-27,2746.06,7
TXN100116,Kathmandu - Kupondole,Kathmandu,2025-02-11,3212.6800000000003,4
TXN100117,Lalitpur - Pulchowk,Lalitpur,2025-04-30,421.44,3
TXN100118,Bhaktapur - Suryabinayak,Bhaktapur,2025-07-16,11231.05,11
TXN100119,Kathmandu - Kupondole,Kathmandu,2025-07-23,11066.12,11
TXN100120,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-18,10307.009999999998,9
TXN100121,Lalitpur - Pulchowk,Lalitpur,2025-10-24,1271.19,5
TXN100122,Kathmandu - Kupondole,Kathmandu,2025-10-05,4135.17,11
TXN100123,Kathmandu - Kupondole,Kathmandu,2025-04-09,16802.36,8
TXN100124,Butwal - Traffic Chowk,Butwal,2025-11-14,1371.08,4
TXN100125,Pokhara - Lakeside,Pokhara,2025-12-27,7702.97,14
TXN100126,Butwal - Traffic Chowk,Butwal,2025-11-21,1433.01,1
TXN100127,Kathmandu - Kupondole,Kathmandu,2025-10-27,2699.3,12
TXN100128,Chitwan - Bharatpur,Chitwan,2025-04-24,7500.93,5
TXN100129,Butwal - Traffic Chowk,Butwal,2025-10-27,8116.889999999999,6
TXN100130,Butwal - Traffic Chowk,Butwal,2025-01-26,14783.189999999999,12
TXN100131,Kathmandu - Kupondole,Kathmandu,2025-09-08,9897.16,11
TXN100132,Kathmandu - New Road,Kathmandu,2025-01-29,1417.2,4
TXN100133,Butwal - Traffic Chowk,Butwal,2025-01-11,2959.76,10
TXN100134,Kathmandu - New Road,Kathmandu,2025-09-13,10068.689999999999,7
TXN100135,Kathmandu - New Road,Kathmandu,2025-11-22,8266.69,7
TXN100136,Pokhara - Lakeside,Pokhara,2025-11-11,6508.29,7
TXN100137,Kathmandu - Kupondole,Kathmandu,2025-11-19,1559.36,4
TXN100138,Pokhara - Lakeside,Pokhara,2025-11-22,17618.54,15
TXN100139,Lalitpur - Pulchowk,Lalitpur,2025-12-30,12939.08,12
TXN100140,Butwal - Traffic Chowk,Butwal,2025-09-15,4682.05,11
TXN100141,Butwal - Traffic Chowk,Butwal,2025-05-01,8163.820000000001,6
TXN100142,Biratnagar - Main Road,Biratnagar,2025-04-03,1018.24,4
TXN100143,Kathmandu - New Road,Kathmandu,2025-06-04,10510.76,10
TXN100144,Chitwan - Bharatpur,Chitwan,2025-05-13,4088.41,11
TXN100145,Butwal - Traffic Chowk,Butwal,2025-03-23,820.01,3
TXN100146,Kathmandu - New Road,Kathmandu,2025-04-12,3847.96,7
TXN100147,Pokhara - Lakeside,Pokhara,2025-06-16,8892.86,10
TXN100148,Kathmandu - New Road,Kathmandu,2025-06-02,3691.3,8
TXN100149,Kathmandu - New Road,Kathmandu,2025-10-05,3377.55,13
TXN100150,Bhaktapur - Suryabinayak,Bhaktapur,2025-04-15,2985.6,1
TXN100151,Chitwan - Bharatpur,Chitwan,2025-11-21,4270.6900000000005,5
TXN100152,Butwal - Traffic Chowk,Butwal,2025-08-29,5818.58,2
TXN100153,Bhaktapur - Suryabinayak,Bhaktapur,2025-12-16,9251.11,11
TXN100154,Bhaktapur - Suryabinayak,Bhaktapur,2025-08-18,697.44,4
TXN100155,Bhaktapur - Suryabinayak,Bhaktapur,2025-10-18,14326.96,13
TXN100156,Bhaktapur - Suryabinayak,Bhaktapur,2025-11-30,5648.84,7
TXN100157,Kathmandu - Kupondole,Kathmandu,2025-04-21,9624.53,15
TXN100158,Pokhara - Lakeside,Pokhara,2025-01-14,1284.28,4
TXN100159,Lalitpur - Pulchowk,Lalitpur,2025-08-03,2465.82,7
TXN100160,Kathmandu - New Road,Kathmandu,2025-08-27,6876.4,9
TXN100161,Lalitpur - Pulchowk,Lalitpur,2025-11-05,9501.05,12
